UserID,Age,ParentalEducationYears,CEOAnnualSalary,Budget,IdealTripDurationDays,CurrentLatitude,CurrentLongitude,ClimatePreference,TravelStylePreference,TravelCompanionPreference,FavoriteColor,LocalSportsTeamRecord,PastTripsWithRatings
1,25,14.7,39719.36,1411.74,5,40.8327,-74.8982,Warm,Adventure,Couples,Blue,Neutral,"Destination_061-7, Destination_012-6, Destination_031-7, Destination_015-4"
2,34,13.3,70391.75,1217.15,7,25.433,-80.0823,Temperate,Party,Solo,Orange,Winning,"Destination_059-6, Destination_064-5"
3,18,14.9,60139.63,1225.82,13,33.5377,-117.786,Mixed,Party,Couples,Orange,Losing,"Destination_069-5, Destination_068-5, Destination_034-8"
4,48,13.6,44481.63,997.03,5,40.1087,-74.1532,Cold,Relaxation,Couples,Green,Winning,"Destination_071-7, Destination_059-6, Destination_013-5, Destination_002-7"
5,60,12.1,19466.88,1106.52,5,25.467,-80.1078,Temperate,Relaxation,Family,Red,Neutral,Destination_006-7
6,36,14.1,21236.28,1073.27,4,41.5598,-87.7654,Temperate,Party,Couples,Blue,Winning,"Destination_026-8, Destination_009-7, Destination_037-6, Destination_021-9"
7,18,14.8,43032.41,1000.76,9,41.7619,-87.9972,Mixed,Party,Friends,Purple,Winning,"Destination_010-7, Destination_049-7"
8,42,13.0,24716.7,1294.05,8,40.9525,-73.8908,Temperate,Cultural,Work,Red,Winning,"Destination_074-10, Destination_050-9, Destination_061-5, Destination_066-6, Destination_031-7"
9,24,15.9,69713.69,1063.14,5,40.6657,-74.2252,Temperate,Party,Couples,Blue,Winning,"Destination_060-9, Destination_074-7, Destination_032-6, Destination_047-9, Destination_008-7"
10,27,16.6,23200.18,300.0,6,48.0083,-122.4479,Mixed,Adventure,Work,Blue,Losing,"Destination_044-8, Destination_018-8, Destination_007-5, Destination_050-8"
11,43,15.7,23587.13,887.96,5,33.8967,-118.1877,Temperate,Adventure,Friends,Orange,Losing,"Destination_018-6, Destination_019-6, Destination_057-10, Destination_001-7, Destination_056-7"
12,38,13.3,47417.32,1351.24,9,48.4583,-123.0002,Warm,Adventure,Friends,Green,Winning,"Destination_003-6, Destination_031-5, Destination_006-7, Destination_028-8"
13,29,15.5,55110.86,1159.38,15,41.0949,-74.9566,Warm,Cultural,Friends,Yellow,Winning,"Destination_046-9, Destination_069-7, Destination_073-6, Destination_011-8"
14,27,14.2,20007.88,1696.04,9,42.4686,-70.2725,Warm,Cultural,Couples,Yellow,Losing,"Destination_021-9, Destination_059-8, Destination_007-8, Destination_058-8"
15,37,11.4,40031.84,746.32,7,42.6043,-70.9747,Mixed,Luxury,Couples,Red,Winning,"Destination_009-7, Destination_064-7"
16,30,15.3,26641.05,1036.89,5,47.3298,-122.3145,Warm,Party,Friends,Purple,Neutral,"Destination_020-4, Destination_034-5"
17,22,14.5,16611.19,894.64,3,42.234,-71.453,Mixed,Adventure,Friends,Orange,Winning,Destination_016-7
18,31,19.2,24610.58,1170.66,10,33.9051,-118.1408,Warm,Cultural,Friends,White,Neutral,"Destination_051-9, Destination_007-9, Destination_072-7, Destination_033-6"
19,39,16.7,24190.63,2243.78,10,33.6664,-118.6431,Cold,Relaxation,Friends,Green,Losing,"Destination_071-6, Destination_014-10, Destination_062-7, Destination_032-7"
20,33,15.4,43675.25,1062.21,6,41.6799,-70.8646,Cold,Relaxation,Couples,Red,Winning,"Destination_062-8, Destination_044-8, Destination_002-7"
21,18,14.7,19607.16,552.25,11,34.3227,-118.1242,Cold,Adventure,Family,White,Losing,Destination_041-5
22,47,14.0,27130.42,1383.14,8,26.2426,-80.1461,Temperate,Cultural,Work,White,Losing,"Destination_043-7, Destination_064-6, Destination_056-9"
23,18,12.2,47801.5,1127.8,9,42.556,-70.9081,Temperate,Party,Solo,Orange,Losing,"Destination_041-5, Destination_024-9"
24,30,10.5,21140.98,1421.47,8,47.5642,-122.5954,Temperate,Luxury,Friends,Purple,Losing,"Destination_070-9, Destination_018-7, Destination_027-9, Destination_059-6, Destination_046-8"
25,28,12.3,19140.49,964.65,6,48.7171,-122.556,Mixed,Cultural,Work,Yellow,Losing,Destination_017-7
26,37,13.8,22237.53,1803.2,5,33.7171,-118.023,Temperate,Relaxation,Solo,White,Neutral,"Destination_052-8, Destination_074-8, Destination_005-7"
27,42,9.6,11967.94,570.85,7,42.4859,-71.7624,Temperate,Luxury,Couples,Black,Losing,"Destination_047-5, Destination_035-8"
28,49,12.5,104302.64,930.6,10,26.3213,-80.2371,Temperate,Relaxation,Family,White,Winning,"Destination_031-7, Destination_056-7, Destination_007-8"
29,26,13.6,43629.71,1046.87,6,41.8045,-70.4656,Temperate,Relaxation,Friends,Green,Losing,Destination_062-8
30,42,13.3,16338.32,938.53,9,34.3628,-118.8723,Warm,Cultural,Family,Orange,Losing,"Destination_021-10, Destination_038-8, Destination_075-10"
31,37,12.5,18160.03,996.02,4,42.7686,-87.3006,Mixed,Cultural,Solo,Red,Winning,"Destination_003-3, Destination_024-7, Destination_039-8, Destination_030-8, Destination_036-5"
32,18,13.6,25246.5,741.59,9,41.8749,-86.8349,Warm,Adventure,Solo,Red,Winning,Destination_015-7
33,58,16.9,30190.95,1274.55,9,47.6896,-122.344,Warm,Cultural,Family,Black,Winning,"Destination_031-8, Destination_039-9, Destination_056-9, Destination_063-5, Destination_074-8"
34,18,15.6,28201.63,876.32,4,33.7198,-117.9491,Cold,Adventure,Couples,Purple,Neutral,"Destination_012-9, Destination_042-5"
35,40,12.7,32011.89,1426.97,7,25.9983,-80.1827,Warm,Party,Solo,Purple,Winning,"Destination_038-5, Destination_013-10, Destination_015-6, Destination_067-6, Destination_025-9"
36,40,13.7,15834.13,1466.71,10,25.365,-80.125,Warm,Relaxation,Friends,Orange,Winning,"Destination_075-8, Destination_070-8"
37,38,13.8,15983.73,1082.61,4,40.6751,-74.6767,Warm,Adventure,Solo,White,Winning,"Destination_024-6, Destination_060-8, Destination_030-7, Destination_066-9, Destination_026-7"
38,29,12.5,27123.98,865.36,4,25.0241,-79.9074,Warm,Cultural,Friends,Black,Neutral,"Destination_060-7, Destination_072-7"
39,45,12.2,11260.35,741.1,7,41.0591,-70.9573,Temperate,Adventure,Work,Blue,Winning,Destination_055-8
40,18,16.3,50501.94,1213.77,14,33.811,-117.5859,Mixed,Party,Friends,Red,Winning,"Destination_020-7, Destination_031-5"
41,34,13.1,20336.79,1142.41,5,40.4633,-73.6803,Temperate,Party,Family,Blue,Winning,"Destination_032-7, Destination_001-8"
42,28,11.8,18297.98,1196.16,9,42.1615,-71.0031,Temperate,Cultural,Solo,Purple,Neutral,"Destination_066-6, Destination_030-6"
43,27,14.0,19106.11,648.88,8,42.7284,-71.2913,Cold,Cultural,Family,Black,Winning,"Destination_006-6, Destination_017-6, Destination_020-9, Destination_031-6"
44,40,14.0,9867.61,1099.56,6,48.1083,-122.8268,Warm,Relaxation,Couples,White,Losing,"Destination_027-8, Destination_071-7"
45,48,9.7,21475.6,802.46,8,42.0273,-87.1687,Temperate,Relaxation,Solo,Red,Winning,"Destination_063-10, Destination_003-5, Destination_007-7, Destination_026-6"
46,31,13.9,41650.55,1903.2,7,41.04,-73.0518,Temperate,Adventure,Family,Green,Winning,"Destination_049-8, Destination_032-8, Destination_023-8, Destination_056-7, Destination_034-8"
